Dataset,Size,MRR@10,Recall@100,nDCG@10,Average query runtime (sec),Maximum query runtime (sec)
Test,555,0.8055255255255255,0.8351351351351352,0.8093486248863683,0.13596300692171664,0.27052950859069824
Train,2216,0.7459855452409605,0.7739169675090253,0.7504125874655518,0.13722450993551674,0.5042369365692139
Full,2771,0.7579107307544696,0.786178274990978,0.7622168100453256,0.13606714075199322,0.5213665962219238
