,Dataset,Size,Average query runtime (sec),Maximum query runtime (sec),MRR@10,MRR@100,Recall@100,nDCG@10
0,Test,555,0.4132209176415796,1.2703089714050293,0.480087945087945,0.4884126958851035,0.8324324324324325,0.5194113693492494
1,Train,2216,0.4143226426430988,1.7567496299743652,0.4421159604034162,0.448820378804167,0.779783393501805,0.4832203920670003
2,Full,2771,0.41753920034052705,1.9174141883850098,0.44972132002085136,0.4567502726980384,0.7903284012991699,0.49046903601923886
